Date,Open,High,Low,Close,Volume,20 Day MA
6/12/2015 16:00:00,26.58,26.66,26.51,26.62,955789,26.441
6/15/2015 16:00:00,26.4,26.42,26.2,26.36,1632702,26.4765
6/16/2015 16:00:00,26.42,26.48,26.28,26.41,1071814,26.5615
6/17/2015 16:00:00,26.47,26.55,26.26,26.46,1294216,26.6415
6/18/2015 16:00:00,26.55,26.91,26.54,26.84,1833109,26.768
6/19/2015 16:00:00,26.86,26.91,26.65,26.83,1893497,27.1085
6/22/2015 16:00:00,26.98,27.19,26.88,26.91,1250282,27.4245
6/23/2015 16:00:00,26.98,27.07,26.76,27.02,1197450,27.735
6/24/2015 16:00:00,27,27,26.78,26.89,1286608,28.039
6/25/2015 16:00:00,26.94,27.05,26.76,26.76,1335697,28.305
6/26/2015 16:00:00,26.86,26.89,26.57,26.58,2109130,28.526
6/29/2015 16:00:00,26.25,26.43,26.03,26.08,1937821,28.765
6/30/2015 16:00:00,26.3,26.31,26.03,26.03,2235595,29.031
7/1/2015 16:00:00,26.24,26.28,25.91,26.09,1961354,29.3095
7/2/2015 16:00:00,26.05,26.23,26.05,26.17,1235903,29.5865
7/6/2015 16:00:00,25.98,26.26,25.95,26.14,1280525,29.842
7/7/2015 16:00:00,26.16,26.31,25.76,26.25,1597229,30.113
7/8/2015 16:00:00,26.05,26.14,25.81,25.84,1296699,30.3735
7/9/2015 16:00:00,26.16,26.19,26.02,26.03,1842347,30.691
7/10/2015 16:00:00,26.31,26.63,26.28,26.51,1956682,30.996
7/13/2015 16:00:00,26.64,27.36,26.62,27.33,2206475,31.259
7/14/2015 16:00:00,27.34,28.29,27.34,28.06,3244066,31.477
7/15/2015 16:00:00,28.01,28.33,27.84,28.01,1784554,31.726
7/16/2015 16:00:00,28.26,29.03,28.25,28.99,4768318,31.9745
7/17/2015 16:00:00,32.45,33.72,32.25,33.65,11164943,32.166
7/20/2015 16:00:00,32.96,33.44,32.65,33.15,5860872,32.1265
7/21/2015 16:00:00,32.76,33.65,32.72,33.12,3377196,32.121
7/22/2015 16:00:00,33.04,33.93,32.95,33.1,3929309,32.1055
7/23/2015 16:00:00,33.06,33.18,32.05,32.21,3029109,32.103
7/24/2015 16:00:00,32.35,32.41,31.13,31.18,3625747,32.1095
7/27/2015 16:00:00,31.05,31.72,31.03,31.36,2675381,32.0815
7/28/2015 16:00:00,31.64,31.64,31.17,31.4,1727327,31.9875
7/29/2015 16:00:00,31.44,31.67,31.13,31.6,1575069,31.8725
7/30/2015 16:00:00,31.5,31.76,31.1,31.63,1474203,31.864
7/31/2015 16:00:00,31.57,31.65,31.28,31.28,1706149,31.8765
8/3/2015 16:00:00,31.27,31.65,31.27,31.56,1304511,31.8885
8/4/2015 16:00:00,31.42,31.74,31.36,31.46,1490881,31.856
8/5/2015 16:00:00,31.72,32.39,31.66,32.19,2334266,31.7775
8/6/2015 16:00:00,32.25,32.27,31.61,32.13,1572600,31.704
8/7/2015 16:00:00,32.01,32.13,31.49,31.77,1403865,31.613
8/10/2015 16:00:00,31.97,32.17,31.56,31.69,1809205,31.5265
8/11/2015 16:00:00,33.46,33.74,32.71,33.04,5029203,31.4785
