Date,Open,High,Low,Close,Volume,20 Day MA
6/12/2015 16:00:00,0.54,0.54,0.53,0.53,8093164,0.518
6/15/2015 16:00:00,0.53,0.53,0.52,0.53,7663673,0.5165
6/16/2015 16:00:00,0.53,0.53,0.52,0.53,6422253,0.515
6/17/2015 16:00:00,0.53,0.54,0.53,0.54,5838648,0.513
6/18/2015 16:00:00,0.54,0.55,0.54,0.55,7485090,0.511
6/19/2015 16:00:00,0.55,0.55,0.54,0.55,8891427,0.5085
6/22/2015 16:00:00,0.55,0.55,0.54,0.54,12855929,0.5055
6/23/2015 16:00:00,0.55,0.55,0.53,0.53,10351627,0.503
6/24/2015 16:00:00,0.53,0.53,0.52,0.53,6334204,0.501
6/25/2015 16:00:00,0.53,0.53,0.53,0.53,8761548,0.499
6/26/2015 16:00:00,0.53,0.53,0.52,0.52,10532373,0.497
6/29/2015 16:00:00,0.51,0.52,0.5,0.5,9793096,0.495
6/30/2015 16:00:00,0.51,0.51,0.5,0.5,7897857,0.4945
7/1/2015 16:00:00,0.52,0.52,0.51,0.51,7573001,0.4945
7/2/2015 16:00:00,0.51,0.51,0.51,0.51,3644115,0.494
7/6/2015 16:00:00,0.51,0.51,0.5,0.5,5369413,0.4935
7/7/2015 16:00:00,0.5,0.5,0.48,0.49,14856327,0.494
7/8/2015 16:00:00,0.49,0.5,0.49,0.49,8312287,0.495
7/9/2015 16:00:00,0.5,0.5,0.48,0.49,8939745,0.496
7/10/2015 16:00:00,0.49,0.5,0.49,0.49,5417717,0.497
7/13/2015 16:00:00,0.5,0.5,0.49,0.5,5311791,0.501
7/14/2015 16:00:00,0.5,0.5,0.49,0.5,6230429,0.5055
7/15/2015 16:00:00,0.5,0.5,0.49,0.49,6643348,0.51
7/16/2015 16:00:00,0.5,0.5,0.5,0.5,7072291,0.515
7/17/2015 16:00:00,0.5,0.5,0.5,0.5,5509308,0.5195
7/20/2015 16:00:00,0.5,0.5,0.49,0.49,4710259,0.524
7/21/2015 16:00:00,0.49,0.5,0.49,0.49,3743010,0.5285
7/22/2015 16:00:00,0.49,0.49,0.48,0.49,8911819,0.533
7/23/2015 16:00:00,0.49,0.5,0.49,0.49,4247872,0.537
7/24/2015 16:00:00,0.49,0.5,0.48,0.49,4721099,0.54
7/27/2015 16:00:00,0.48,0.49,0.48,0.48,4810520,0.5425
7/28/2015 16:00:00,0.48,0.5,0.48,0.49,4957733,0.5445
7/29/2015 16:00:00,0.49,0.5,0.49,0.5,5817033,0.5455
7/30/2015 16:00:00,0.5,0.51,0.5,0.5,4754479,0.548
7/31/2015 16:00:00,0.5,0.5,0.5,0.5,5459211,0.5515
8/3/2015 16:00:00,0.5,0.51,0.5,0.51,9928278,0.555
8/4/2015 16:00:00,0.51,0.51,0.5,0.51,6502514,0.5575
8/5/2015 16:00:00,0.52,0.52,0.51,0.51,5865652,0.559
8/6/2015 16:00:00,0.51,0.52,0.5,0.51,16391890,0.5615
8/7/2015 16:00:00,0.56,0.58,0.55,0.57,35131171,0.564
8/10/2015 16:00:00,0.57,0.6,0.57,0.59,16557636,0.5625
8/11/2015 16:00:00,0.59,0.6,0.59,0.59,10875209,0.5615
8/12/2015 16:00:00,0.58,0.6,0.58,0.59,9602012,0.56
8/13/2015 16:00:00,0.59,0.6,0.59,0.59,6922146,0.5585
8/14/2015 16:00:00,0.59,0.59,0.58,0.59,5366261,0.5575
8/17/2015 16:00:00,0.59,0.59,0.58,0.58,6846973,0.5565
8/18/2015 16:00:00,0.58,0.58,0.57,0.58,7177055,0.556
8/19/2015 16:00:00,0.58,0.58,0.57,0.57,6231842,0.556
8/20/2015 16:00:00,0.57,0.57,0.55,0.55,10673329,0.5565
8/21/2015 16:00:00,0.55,0.56,0.54,0.54,9566639,0.558
8/24/2015 16:00:00,0.51,0.55,0.5,0.52,17057073,0.5605
8/25/2015 16:00:00,0.54,0.54,0.51,0.51,15567110,0.563
8/26/2015 16:00:00,0.52,0.55,0.52,0.55,15374439,0.566
8/27/2015 16:00:00,0.55,0.57,0.55,0.57,11594083,0.568
8/28/2015 16:00:00,0.57,0.57,0.56,0.57,8023632,0.569
8/31/2015 16:00:00,0.57,0.57,0.56,0.56,5483810,0.5695
9/1/2015 16:00:00,0.55,0.56,0.54,0.54,8835220,0.571
9/2/2015 16:00:00,0.55,0.56,0.54,0.56,8601065,0.575
9/3/2015 16:00:00,0.56,0.57,0.56,0.56,6563938,0.577
9/4/2015 16:00:00,0.55,0.56,0.54,0.54,7200245,0.58
9/8/2015 16:00:00,0.56,0.57,0.55,0.57,5961218,0.585
9/9/2015 16:00:00,0.57,0.57,0.55,0.56,7234849,0.5885
9/10/2015 16:00:00,0.55,0.57,0.55,0.56,8926896,0.593
9/11/2015 16:00:00,0.56,0.57,0.56,0.57,7539608,0.5975
9/14/2015 16:00:00,0.57,0.57,0.56,0.57,4811636,0.6015
9/15/2015 16:00:00,0.57,0.58,0.57,0.57,8199412,0.606
9/16/2015 16:00:00,0.57,0.58,0.57,0.58,4337684,0.6105
9/17/2015 16:00:00,0.59,0.59,0.58,0.58,6717769,0.6155
9/18/2015 16:00:00,0.57,0.59,0.57,0.58,8160255,0.621
9/21/2015 16:00:00,0.58,0.59,0.58,0.59,7046616,0.627
9/22/2015 16:00:00,0.58,0.58,0.57,0.57,5708923,0.6325
9/23/2015 16:00:00,0.57,0.58,0.57,0.57,4040849,0.6385
9/24/2015 16:00:00,0.57,0.59,0.56,0.59,9561031,0.6445
9/25/2015 16:00:00,0.59,0.6,0.58,0.59,9242268,0.6505
9/28/2015 16:00:00,0.59,0.59,0.58,0.58,9889576,0.6565
9/29/2015 16:00:00,0.59,0.59,0.58,0.59,9518373,0.663
9/30/2015 16:00:00,0.6,0.62,0.59,0.62,13909541,0.669
10/1/2015 16:00:00,0.62,0.62,0.59,0.6,12232427,0.674
10/2/2015 16:00:00,0.6,0.62,0.59,0.62,9653639,0.6785
10/5/2015 16:00:00,0.62,0.64,0.62,0.64,12050571,0.683
10/6/2015 16:00:00,0.63,0.65,0.63,0.64,11360526,0.687
10/7/2015 16:00:00,0.65,0.66,0.63,0.65,7753799,0.6905
10/8/2015 16:00:00,0.65,0.66,0.64,0.65,11501741,0.693
10/9/2015 16:00:00,0.65,0.66,0.64,0.65,10581210,0.695
10/12/2015 16:00:00,0.65,0.66,0.65,0.66,5689727,0.702
10/13/2015 16:00:00,0.65,0.66,0.65,0.66,7461071,0.7085
10/14/2015 16:00:00,0.66,0.69,0.66,0.68,15304756,0.714
10/15/2015 16:00:00,0.69,0.7,0.68,0.69,13151151,0.718
10/16/2015 16:00:00,0.69,0.7,0.69,0.7,11209897,0.7215
10/19/2015 16:00:00,0.7,0.7,0.69,0.7,7367780,0.724
10/20/2015 16:00:00,0.69,0.7,0.69,0.69,6620614,0.727
10/21/2015 16:00:00,0.7,0.7,0.68,0.69,9667049,0.7305
10/22/2015 16:00:00,0.69,0.71,0.69,0.71,7672091,0.735
10/23/2015 16:00:00,0.72,0.72,0.71,0.71,9544357,0.7385
10/26/2015 16:00:00,0.72,0.72,0.71,0.71,6185935,0.742
10/27/2015 16:00:00,0.71,0.72,0.71,0.71,5206678,0.745
10/28/2015 16:00:00,0.72,0.72,0.71,0.72,5425852,0.7485
10/29/2015 16:00:00,0.71,0.71,0.69,0.69,8179177,0.7515
10/30/2015 16:00:00,0.7,0.71,0.69,0.71,7528965,0.756
11/2/2015 16:00:00,0.71,0.72,0.71,0.72,4752197,0.76
11/3/2015 16:00:00,0.71,0.72,0.7,0.71,9419230,0.765
11/4/2015 16:00:00,0.71,0.72,0.7,0.7,11056571,0.77
11/5/2015 16:00:00,0.7,0.71,0.69,0.69,11969974,0.7755
11/6/2015 16:00:00,0.76,0.8,0.75,0.79,29306777,0.783
11/9/2015 16:00:00,0.78,0.79,0.77,0.79,12314225,0.785
11/10/2015 16:00:00,0.78,0.78,0.75,0.77,13806497,0.7875
11/11/2015 16:00:00,0.77,0.78,0.76,0.76,15503157,0.79
11/12/2015 16:00:00,0.76,0.77,0.76,0.76,7277017,0.793
11/13/2015 16:00:00,0.76,0.76,0.74,0.75,7323501,0.7955
11/16/2015 16:00:00,0.75,0.76,0.75,0.76,8607008,0.7985
11/17/2015 16:00:00,0.76,0.77,0.76,0.76,6426235,0.8015
11/18/2015 16:00:00,0.76,0.78,0.75,0.78,8755358,0.805
11/19/2015 16:00:00,0.78,0.79,0.77,0.78,6351803,0.807
11/20/2015 16:00:00,0.78,0.79,0.78,0.78,5993587,0.808
11/23/2015 16:00:00,0.79,0.79,0.77,0.77,6063751,0.81
11/24/2015 16:00:00,0.77,0.79,0.77,0.78,4885692,0.8125
11/25/2015 16:00:00,0.78,0.79,0.78,0.78,3457476,0.815
11/27/2015 16:00:00,0.78,0.79,0.78,0.78,2175202,0.8175
11/30/2015 16:00:00,0.79,0.8,0.78,0.79,8181080,0.82
12/1/2015 16:00:00,0.8,0.82,0.8,0.82,10237433,0.8225
12/2/2015 16:00:00,0.82,0.83,0.81,0.81,7356004,0.823
12/3/2015 16:00:00,0.82,0.83,0.81,0.81,6166405,0.8235
12/4/2015 16:00:00,0.81,0.85,0.81,0.84,11468924,0.8235
12/7/2015 16:00:00,0.84,0.84,0.83,0.83,8339679,0.8225
12/8/2015 16:00:00,0.82,0.84,0.81,0.84,7862233,0.8205
