Date,Open,High,Low,Close,Volume,20 Day MA
6/12/2015 16:00:00,67.06,67.55,66.79,67.03,6855597,64.71
6/15/2015 16:00:00,66.54,66.85,66.06,66.63,6817541,64.53
6/16/2015 16:00:00,66.5,66.63,65.93,66.46,6746772,64.3955
6/17/2015 16:00:00,66.69,67.08,66.08,66.55,9563615,64.2665
6/18/2015 16:00:00,66.74,67.67,66.67,67.36,10443504,64.1665
6/19/2015 16:00:00,67.5,67.51,66.64,66.88,13233670,64.0155
6/22/2015 16:00:00,67.04,67.63,67,67.36,11762812,63.861
6/23/2015 16:00:00,67.54,67.62,66.76,66.98,11792044,63.75
6/24/2015 16:00:00,67.08,67.13,65.29,65.35,15282667,63.6105
6/25/2015 16:00:00,65.51,65.87,65.02,65.26,9838779,63.432
6/26/2015 16:00:00,65.32,65.56,64.6,64.67,34801399,63.251
6/29/2015 16:00:00,63.4,64.03,62.58,62.62,16549663,63.1165
6/30/2015 16:00:00,62.75,63.15,62.45,62.63,12697418,63.1405
7/1/2015 16:00:00,63.27,63.28,62.01,62.9,12669898,63.1675
7/2/2015 16:00:00,63.01,63.65,62.99,63.11,11302828,63.243
7/6/2015 16:00:00,62.66,63.55,62.65,63.11,10068423,63.307
7/7/2015 16:00:00,63.27,63.38,61.48,62.8,13582620,63.373
7/8/2015 16:00:00,62.45,62.6,61.7,61.91,13827924,63.4055
7/9/2015 16:00:00,62.85,63.43,61.85,61.86,12238918,63.504
7/10/2015 16:00:00,62.41,63.07,61.86,62.73,12906082,63.553
7/13/2015 16:00:00,63,63.7,63,63.43,11426615,63.5675
7/14/2015 16:00:00,63.62,64.28,63.45,63.94,10282338,63.5535
7/15/2015 16:00:00,63.31,64.2,63.3,63.88,8492048,63.484
7/16/2015 16:00:00,63.45,64.68,63.38,64.55,10385928,63.419
7/17/2015 16:00:00,64.11,64.65,64.01,64.34,8953476,63.293
7/20/2015 16:00:00,64.63,64.63,63.74,63.79,11381031,63.1715
7/21/2015 16:00:00,64.61,66.05,64.45,65.14,17818863,63.0855
7/22/2015 16:00:00,64.5,64.97,64.05,64.19,22660293,62.8945
7/23/2015 16:00:00,62.57,62.78,60.83,61.78,37879791,62.744
7/24/2015 16:00:00,61.86,62.2,61.31,61.64,18525485,62.6625
7/27/2015 16:00:00,61.98,62.5,61.51,61.98,14749667,62.461
7/28/2015 16:00:00,62.34,63.41,62.22,63.1,14090202,62.126
7/29/2015 16:00:00,63.08,63.56,62.75,63.17,9779077,61.665
7/30/2015 16:00:00,62.99,64.78,62.8,64.41,12697168,61.3395
7/31/2015 16:00:00,64.66,64.95,64.23,64.39,9612148,60.987
8/3/2015 16:00:00,64.35,64.71,64.08,64.43,9847918,60.64
8/4/2015 16:00:00,64.41,64.82,63.22,63.45,12106771,60.2475
8/5/2015 16:00:00,63.66,64.49,63.5,63.88,9451292,59.826
8/6/2015 16:00:00,63.75,64.11,62.65,62.84,12280301,59.425
8/7/2015 16:00:00,62.76,63.43,62.6,63.02,17441652,59.0605
8/10/2015 16:00:00,62.5,63.33,62.5,63.15,17649598,58.624
8/11/2015 16:00:00,62.57,63.06,62.34,62.55,13666973,58.2265
8/12/2015 16:00:00,62.4,62.67,61.6,62.58,12702137,57.815
8/13/2015 16:00:00,62.5,62.6,61.95,62.03,9402553,57.4525
8/14/2015 16:00:00,61.79,62.55,61.79,61.91,9202822,57.084
8/17/2015 16:00:00,61.5,62.11,61.48,62.07,11549661,56.704
8/18/2015 16:00:00,61.57,61.85,61.3,61.32,10632089,56.344
8/19/2015 16:00:00,60.89,61.62,60.71,61.18,11576950,56.038
8/20/2015 16:00:00,60.85,61.34,60.15,60.15,13173536,55.728
8/21/2015 16:00:00,59.69,60.1,57.56,57.61,19647317,55.443
8/24/2015 16:00:00,54.18,57.81,52.59,55.28,29486895,55.282
8/25/2015 16:00:00,56.62,56.92,53.74,53.88,21855441,55.215
8/26/2015 16:00:00,55.5,56.74,54.85,56.66,22001505,55.199
8/27/2015 16:00:00,57.07,57.45,56.17,57.36,18261608,55.0295
8/28/2015 16:00:00,57.15,57.76,57.03,57.45,12673261,54.8225
8/31/2015 16:00:00,56.57,57.26,56.35,56.58,9898841,54.577
9/1/2015 16:00:00,55.25,55.91,54.69,55.02,13136572,54.3695
9/2/2015 16:00:00,55.63,55.88,55.01,55.86,11629075,54.305
9/3/2015 16:00:00,56.22,56.76,55.47,55.55,10717921,54.171
9/4/2015 16:00:00,54.94,55.1,54.14,54.29,11424658,54.147
9/8/2015 16:00:00,55.11,55.35,54.77,55.2,10938537,54.244
9/9/2015 16:00:00,55.85,55.89,54.16,54.32,12577249,54.3
9/10/2015 16:00:00,54.5,55.81,54.28,55.33,13997124,54.4145
9/11/2015 16:00:00,55.05,55.16,54.35,54.66,10793296,54.531
9/14/2015 16:00:00,54.75,54.98,54.07,54.31,9720675,54.687
9/15/2015 16:00:00,54.82,55.17,54.36,54.87,9264973,54.861
9/16/2015 16:00:00,54.81,55.53,54.68,55.2,8091925,54.993
9/17/2015 16:00:00,55.19,55.91,54.85,54.98,9698113,55.1645
9/18/2015 16:00:00,54.25,54.96,54.02,54.45,26572507,55.3785
9/21/2015 16:00:00,54.63,54.73,54,54.39,9289601,55.6515
9/22/2015 16:00:00,53.78,54.23,53.58,53.94,9946773,55.887
9/23/2015 16:00:00,54.15,54.15,53.37,53.56,7243933,56.14
9/24/2015 16:00:00,53.18,53.53,52.39,53.27,13502002,56.4105
9/25/2015 16:00:00,53.95,54,52.96,53.22,11661948,56.7685
9/28/2015 16:00:00,53.05,53.27,52.52,52.54,11773069,57.144
9/29/2015 16:00:00,52.5,52.91,52.17,52.43,9789895,57.4775
9/30/2015 16:00:00,52.99,53.81,52.9,53.73,12849747,57.82
10/1/2015 16:00:00,53.6,53.82,53,53.18,9554861,58.147
10/2/2015 16:00:00,53.07,55.15,53,55.07,13192246,58.488
10/5/2015 16:00:00,55.58,56.49,55.57,56.23,9933198,58.7055
10/6/2015 16:00:00,56,56.52,55.42,56.32,10428566,58.926
10/7/2015 16:00:00,56.56,57.35,56.04,56.61,8952276,59.1535
10/8/2015 16:00:00,56.49,57.68,56.32,57.66,8635217,59.336
10/9/2015 16:00:00,57.87,58.12,57.37,57.78,8883012,59.0065
10/12/2015 16:00:00,57.63,58.08,57.47,57.79,6913442,58.7885
10/13/2015 16:00:00,57.19,58.08,57.02,57.51,7377266,58.546
10/14/2015 16:00:00,57.52,59.14,57.51,58.63,12471573,58.284
10/15/2015 16:00:00,59,59.91,58.66,59.26,9055568,57.995
10/16/2015 16:00:00,59.48,60,58.91,59.91,8924916,57.661
10/19/2015 16:00:00,59.46,59.63,58.61,59.1,10975232,57.2625
10/20/2015 16:00:00,58.68,59.21,58.68,59,9102198,56.946
10/21/2015 16:00:00,59.28,59.77,58.89,58.97,6936334,56.645
10/22/2015 16:00:00,59.49,60.64,59.49,60.43,10913552,56.0965
10/23/2015 16:00:00,60.63,61.19,60.49,60.73,9175621,55.4945
10/26/2015 16:00:00,60.91,60.91,58.7,59.21,13380961,54.939
10/27/2015 16:00:00,58.91,59.35,58.77,59.28,9485863,54.427
10/28/2015 16:00:00,59.33,60.3,59.23,60.27,7738307,53.9335
10/29/2015 16:00:00,59.67,60.23,59.58,60,5567708,53.375
10/30/2015 16:00:00,60.12,60.2,59.42,59.42,8630290,52.802
11/2/2015 16:00:00,59.7,60.76,59.51,60.64,8577221,52.2705
11/3/2015 16:00:00,60.4,61.18,60.26,60.87,7704254,51.7035
11/4/2015 16:00:00,60.89,61.01,60.07,60.26,10795881,51.2525
11/5/2015 16:00:00,56.73,56.81,49.92,51.07,65856362,50.8095
11/6/2015 16:00:00,51.63,53.7,51.63,53.42,31252913,50.873
11/9/2015 16:00:00,52.88,53.35,52.62,52.94,15092008,50.8235
11/10/2015 16:00:00,52.53,52.99,51.95,52.27,13489547,50.6505
11/11/2015 16:00:00,52.6,53.24,52.37,52.85,11034666,50.4665
11/12/2015 16:00:00,52.75,53.19,52.52,52.58,10806963,50.2525
11/13/2015 16:00:00,52.3,52.75,51.82,51.94,10439873,49.9965
11/16/2015 16:00:00,51.96,52.86,51.96,52.77,9213990,49.741
11/17/2015 16:00:00,52.7,53.55,52.57,52.98,10686186,49.5035
11/18/2015 16:00:00,51.94,51.94,47.52,48,45214463,49.258
11/19/2015 16:00:00,48.51,49.28,48.23,48.39,20547909,49.235
11/20/2015 16:00:00,48.8,49.77,48.5,49.62,17229809,49.187
11/23/2015 16:00:00,49.09,49.58,48.76,48.97,11632840,49.144
11/24/2015 16:00:00,49.03,49.73,48.86,49.41,12090114,49.149
11/25/2015 16:00:00,49.41,49.65,48.85,49.1,9967115,49.1305
11/27/2015 16:00:00,48.67,48.85,48.47,48.54,3441634,49.153
11/30/2015 16:00:00,48.6,48.86,48.3,48.79,13716041,49.205
12/1/2015 16:00:00,48.75,49.32,48.6,49.3,9915790,49.3095
12/2/2015 16:00:00,51.91,53.44,51.8,51.85,36745077,49.365
12/3/2015 16:00:00,52.16,52.24,50.37,51.4,25438139,49.272
12/4/2015 16:00:00,52.09,52.57,51.41,52.34,16177724,49.208
12/7/2015 16:00:00,52.31,52.54,51.89,52.43,10160685,49.048
12/8/2015 16:00:00,50.63,50.96,49.31,49.48,18917091,48.8585
12/9/2015 16:00:00,49.64,49.98,48.42,48.59,16131021,48.6915
12/10/2015 16:00:00,48.65,49.57,48.47,48.57,11619464,48.556
12/11/2015 16:00:00,48.2,48.36,47.34,47.46,12977605,48.431
12/14/2015 16:00:00,47.41,47.96,45.93,46.83,17223486,48.384
12/15/2015 16:00:00,47.71,48.81,46.8,48.02,20086940,48.3475
12/16/2015 16:00:00,48.25,48.6,47.15,48.07,13308303,48.333
12/17/2015 16:00:00,49.32,49.6,47.54,47.54,15328038,48.2205
12/18/2015 16:00:00,47.37,48.04,47.02,47.43,46440181,48.148
12/21/2015 16:00:00,47.61,48.93,47.54,48.76,16779008,48.073
12/22/2015 16:00:00,48.53,49.19,48.43,49.07,10139772,47.9875
12/23/2015 16:00:00,49.24,49.52,48.9,49.04,9397921,47.9375
12/24/2015 16:00:00,49,49.88,49,49.55,5352009,47.8645
12/28/2015 16:00:00,49.45,49.81,49.23,49.58,8395554,47.813
12/29/2015 16:00:00,50.28,51.25,50.07,50.88,14371321,47.7105
12/30/2015 16:00:00,50.88,51.25,50.36,50.41,8529266,47.346
