Date,Open,High,Low,Close,Volume,20 Day MA
6/12/2015 16:00:00,1.94,1.94,1.94,1.94,916,1.855
6/15/2015 16:00:00,1.92,1.94,1.89,1.94,3795,1.842
6/16/2015 16:00:00,1.95,1.97,1.94,1.97,2153,1.83
6/17/2015 16:00:00,1.96,1.97,1.95,1.96,2474,1.816
6/18/2015 16:00:00,1.98,2.02,1.98,2.01,1983,1.803
6/19/2015 16:00:00,2.02,2.03,2,2.03,2862,1.786
6/22/2015 16:00:00,2.04,2.04,2.02,2.04,2522,1.767
6/23/2015 16:00:00,2.01,2.01,1.99,2,1160,1.7475
6/24/2015 16:00:00,2,2.01,1.97,1.97,4567,1.7255
6/25/2015 16:00:00,2,2,1.97,1.98,2564,1.7065
6/26/2015 16:00:00,1.96,1.96,1.84,1.86,9081,1.6845
6/29/2015 16:00:00,1.82,1.82,1.74,1.75,10480,1.668
6/30/2015 16:00:00,1.78,1.79,1.76,1.77,17200,1.661
7/1/2015 16:00:00,1.79,1.8,1.77,1.77,2640,1.652
7/2/2015 16:00:00,1.8,1.81,1.8,1.81,727,1.6435
7/6/2015 16:00:00,1.77,1.77,1.73,1.74,3865,1.631
7/7/2015 16:00:00,1.73,1.74,1.63,1.72,13277,1.621
7/8/2015 16:00:00,1.64,1.65,1.63,1.63,5467,1.6115
7/9/2015 16:00:00,1.69,1.69,1.58,1.58,10757,1.6095
7/10/2015 16:00:00,1.64,1.64,1.62,1.63,1217,1.607
7/13/2015 16:00:00,1.65,1.69,1.64,1.68,5039,1.6015
7/14/2015 16:00:00,1.7,1.71,1.69,1.7,12321,1.5985
7/15/2015 16:00:00,1.72,1.72,1.67,1.69,22319,1.5905
7/16/2015 16:00:00,1.7,1.73,1.66,1.7,5554,1.5845
7/17/2015 16:00:00,1.7,1.7,1.65,1.67,16022,1.5765
7/20/2015 16:00:00,1.69,1.69,1.65,1.65,3555,1.5685
7/21/2015 16:00:00,1.66,1.67,1.65,1.65,2326,1.563
7/22/2015 16:00:00,1.63,1.63,1.53,1.56,16404,1.5555
7/23/2015 16:00:00,1.58,1.64,1.58,1.59,2134,1.551
7/24/2015 16:00:00,1.59,1.59,1.54,1.54,4565,1.5395
7/27/2015 16:00:00,1.53,1.53,1.48,1.53,9477,1.5265
7/28/2015 16:00:00,1.52,1.61,1.52,1.61,5427,1.5125
7/29/2015 16:00:00,1.61,1.61,1.58,1.59,7152,1.492
7/30/2015 16:00:00,1.59,1.6,1.58,1.6,2415,1.4775
7/31/2015 16:00:00,1.6,1.6,1.56,1.56,2535,1.467
8/3/2015 16:00:00,1.55,1.56,1.54,1.54,1491,1.461
8/4/2015 16:00:00,1.52,1.54,1.51,1.53,5295,1.4565
8/5/2015 16:00:00,1.53,1.59,1.53,1.59,1087,1.4465
8/6/2015 16:00:00,1.55,1.56,1.51,1.53,9141,1.4365
8/7/2015 16:00:00,1.51,1.52,1.5,1.52,5166,1.432
8/10/2015 16:00:00,1.54,1.62,1.54,1.62,9054,1.426
8/11/2015 16:00:00,1.6,1.6,1.54,1.54,1639,1.42
8/12/2015 16:00:00,1.53,1.57,1.49,1.57,4482,1.4165
8/13/2015 16:00:00,1.58,1.58,1.54,1.54,5042,1.413
8/14/2015 16:00:00,1.52,1.52,1.51,1.51,3229,1.41
8/17/2015 16:00:00,1.54,1.54,1.54,1.54,250,1.4085
8/18/2015 16:00:00,1.54,1.54,1.5,1.5,938,1.408
8/19/2015 16:00:00,1.5,1.5,1.44,1.47,9295,1.409
8/20/2015 16:00:00,1.44,1.44,1.35,1.36,9958,1.412
8/21/2015 16:00:00,1.34,1.35,1.28,1.28,6779,1.416
8/24/2015 16:00:00,1.21,1.34,1.08,1.25,10628,1.424
8/25/2015 16:00:00,1.26,1.38,1.2,1.2,20189,1.4305
8/26/2015 16:00:00,1.27,1.32,1.23,1.3,7204,1.439
8/27/2015 16:00:00,1.35,1.41,1.35,1.39,14275,1.442
8/28/2015 16:00:00,1.38,1.45,1.38,1.44,8792,1.441
8/31/2015 16:00:00,1.42,1.48,1.41,1.45,24443,1.435
9/1/2015 16:00:00,1.43,1.43,1.33,1.33,4290,1.4295
9/2/2015 16:00:00,1.35,1.41,1.35,1.39,3328,1.435
9/3/2015 16:00:00,1.44,1.47,1.41,1.44,7699,1.435
9/4/2015 16:00:00,1.43,1.43,1.38,1.4,3358,1.434
9/8/2015 16:00:00,1.47,1.51,1.46,1.5,11674,1.44
9/9/2015 16:00:00,1.54,1.55,1.46,1.47,4119,1.439
9/10/2015 16:00:00,1.47,1.5,1.47,1.5,887,1.4435
9/11/2015 16:00:00,1.46,1.48,1.44,1.48,1886,1.4455
9/14/2015 16:00:00,1.49,1.5,1.47,1.48,3168,1.4495
9/15/2015 16:00:00,1.5,1.53,1.5,1.53,992,1.4535
9/16/2015 16:00:00,1.54,1.54,1.5,1.52,4046,1.4535
9/17/2015 16:00:00,1.52,1.53,1.51,1.53,3810,1.459
9/18/2015 16:00:00,1.49,1.49,1.44,1.44,11410,1.465
9/21/2015 16:00:00,1.46,1.47,1.43,1.44,4706,1.476
9/22/2015 16:00:00,1.41,1.41,1.37,1.38,6892,1.4875
9/23/2015 16:00:00,1.39,1.39,1.37,1.37,2484,1.501
9/24/2015 16:00:00,1.35,1.37,1.3,1.36,9438,1.5175
9/25/2015 16:00:00,1.4,1.4,1.37,1.37,2442,1.538
9/28/2015 16:00:00,1.36,1.36,1.32,1.32,3651,1.5605
9/29/2015 16:00:00,1.35,1.35,1.34,1.34,4351,1.583
9/30/2015 16:00:00,1.44,1.44,1.42,1.44,1788,1.603
10/1/2015 16:00:00,1.36,1.39,1.36,1.39,747,1.6195
10/2/2015 16:00:00,1.42,1.42,1.42,1.42,412,1.6355
10/5/2015 16:00:00,1.5,1.52,1.49,1.52,5076,1.651
10/6/2015 16:00:00,1.51,1.51,1.48,1.48,3126,1.663
10/7/2015 16:00:00,1.54,1.58,1.52,1.56,5305,1.678
10/8/2015 16:00:00,1.56,1.56,1.54,1.54,1988,1.689
10/9/2015 16:00:00,1.56,1.58,1.56,1.56,1842,1.699
10/12/2015 16:00:00,1.55,1.56,1.55,1.56,645,1.7115
10/13/2015 16:00:00,1.53,1.53,1.53,1.53,263,1.722
10/14/2015 16:00:00,1.52,1.63,1.51,1.63,6348,1.731
10/15/2015 16:00:00,1.65,1.67,1.63,1.65,5492,1.735
10/16/2015 16:00:00,1.67,1.67,1.63,1.66,2153,1.736
10/19/2015 16:00:00,1.67,1.67,1.65,1.67,2495,1.7355
10/20/2015 16:00:00,1.66,1.66,1.65,1.65,3295,1.7355
10/21/2015 16:00:00,1.68,1.7,1.68,1.7,1249,1.7385
10/22/2015 16:00:00,1.72,1.78,1.72,1.77,3803,1.742
10/23/2015 16:00:00,1.81,1.83,1.77,1.82,8095,1.744
10/26/2015 16:00:00,1.83,1.83,1.77,1.77,3686,1.7435
10/27/2015 16:00:00,1.75,1.75,1.73,1.74,1870,1.744
10/28/2015 16:00:00,1.77,1.78,1.76,1.77,2546,1.7475
10/29/2015 16:00:00,1.74,1.74,1.71,1.71,4664,1.75
10/30/2015 16:00:00,1.71,1.73,1.71,1.73,2089,1.758
11/2/2015 16:00:00,1.73,1.76,1.73,1.76,1471,1.767
11/3/2015 16:00:00,1.74,1.78,1.74,1.78,3262,1.7725
11/4/2015 16:00:00,1.78,1.78,1.77,1.78,851,1.776
11/5/2015 16:00:00,1.78,1.78,1.74,1.74,831,1.783
11/6/2015 16:00:00,1.77,1.81,1.77,1.81,10554,1.791
11/9/2015 16:00:00,1.78,1.82,1.75,1.77,5670,1.7945
11/10/2015 16:00:00,1.74,1.74,1.7,1.71,4125,1.798
11/11/2015 16:00:00,1.72,1.74,1.71,1.71,3933,1.8055
11/12/2015 16:00:00,1.69,1.7,1.66,1.67,5014,1.81
11/13/2015 16:00:00,1.65,1.68,1.64,1.65,2340,1.8155
11/16/2015 16:00:00,1.65,1.67,1.65,1.67,1250,1.826
11/17/2015 16:00:00,1.69,1.71,1.68,1.71,1566,1.8365
11/18/2015 16:00:00,1.73,1.77,1.73,1.77,6444,1.8435
11/19/2015 16:00:00,1.75,1.81,1.75,1.81,3486,1.8425
11/20/2015 16:00:00,1.82,1.82,1.81,1.81,3618,1.842
11/23/2015 16:00:00,1.81,1.81,1.77,1.78,3002,1.8425
11/24/2015 16:00:00,1.77,1.81,1.77,1.81,2164,1.8455
11/25/2015 16:00:00,1.81,1.84,1.81,1.82,2214,1.8485
11/30/2015 16:00:00,1.85,1.88,1.84,1.87,33574,1.849
12/1/2015 16:00:00,1.88,1.91,1.88,1.91,18417,1.8505
12/2/2015 16:00:00,1.92,1.92,1.87,1.87,3852,1.8475
12/3/2015 16:00:00,1.89,1.89,1.85,1.85,1152,1.844
12/4/2015 16:00:00,1.9,1.93,1.9,1.92,8222,1.8375
12/7/2015 16:00:00,1.92,1.92,1.9,1.9,2722,1.8275
12/8/2015 16:00:00,1.85,1.88,1.85,1.88,7459,1.813
12/9/2015 16:00:00,1.83,1.84,1.83,1.84,693,1.796
12/10/2015 16:00:00,1.86,1.86,1.86,1.86,250,1.7775
12/11/2015 16:00:00,1.84,1.84,1.8,1.8,6792,1.7595
12/14/2015 16:00:00,1.82,1.82,1.75,1.78,2777,1.7455
12/15/2015 16:00:00,1.82,1.86,1.81,1.86,5059,1.728
