Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
6/12/2015 16:00:00,93.96,94.07,93.44,93.74,3748513,94.653,,,,,,,,,
6/15/2015 16:00:00,93.27,93.42,92.54,92.64,7202995,94.827,,,,,,,,,
6/16/2015 16:00:00,92.77,93.71,92.58,93.55,2728719,95.0515,,,,,,,,,
6/17/2015 16:00:00,93.57,94.27,93.25,94.05,3108880,95.1915,,,,,,,,,
6/18/2015 16:00:00,94.33,95.52,94.12,95.23,4035361,95.334,,,,,,,,,
6/19/2015 16:00:00,94.88,95.31,94.72,94.86,5462700,95.4115,,,,,,,,,
6/22/2015 16:00:00,95,95.88,95,95.6,3626696,95.534,,,,,,,,,
6/23/2015 16:00:00,95.61,95.74,95.14,95.6,3676477,95.6005,,,,,,,,,
6/24/2015 16:00:00,95.26,95.77,95.26,95.29,4742043,95.679,,,,,,,,,
6/25/2015 16:00:00,95.75,95.99,94.83,94.83,4422498,95.758,,,,,,,,,
6/26/2015 16:00:00,95.1,95.45,94.83,94.91,5119566,95.8255,,,,,,,,,
6/29/2015 16:00:00,94.4,94.76,93.62,93.69,3625633,95.863,,,,,,,,,
6/30/2015 16:00:00,94.51,94.7,93.26,93.34,4188466,95.984,,,,,,,,,
7/1/2015 16:00:00,93.8,94.57,93.55,94.52,4808627,96.1435,,,,,,,,,
7/2/2015 16:00:00,94.6,94.98,94.21,94.66,3209616,96.249,,,,,,,,,
7/6/2015 16:00:00,94.04,94.92,94.01,94.4,4952423,96.3335,,,,,,,,,
7/7/2015 16:00:00,94.78,96.66,94.54,96.4,7724804,96.486,,,,,,,,,
7/8/2015 16:00:00,95.71,96.28,95.51,95.61,6054968,96.5565,,,,,,,,,
7/9/2015 16:00:00,97.34,97.35,94.08,94.59,9932208,96.7355,,,,,,,,,
7/10/2015 16:00:00,95.42,96.27,95.01,95.55,7233607,96.9635,,,,,,,,,
7/13/2015 16:00:00,96.3,97.49,96.16,97.22,7263805,97.141,,,,,,,,,
7/14/2015 16:00:00,97.4,97.48,96.73,97.13,4479374,97.2345,,,,,,,,,
7/15/2015 16:00:00,97.07,97.34,96.32,96.35,5464652,97.309,,,,,,,,,
7/16/2015 16:00:00,97.09,97.34,96.87,96.9,4253038,97.4105,,,,,,,,,
7/17/2015 16:00:00,96.54,96.82,96.05,96.78,3573604,97.505,,,,,,,,,
7/20/2015 16:00:00,97.08,97.48,96.8,97.31,3391794,97.6275,,,,,,,,,
7/21/2015 16:00:00,97.48,97.48,96.84,96.93,3065446,97.755,,,,,,,,,
7/22/2015 16:00:00,97.02,97.48,96.8,97.17,3371302,97.897,,,,,,,,,
7/23/2015 16:00:00,97,97.37,96.46,96.87,2742887,97.988,,,,,,,,,
