Date,Open,High,Low,Close,Volume,20 Day MA
6/12/2015 16:00:00,21.55,21.62,21.41,21.5,2054385,21.76
6/15/2015 16:00:00,21.38,21.4,21.13,21.18,2050987,21.824
6/16/2015 16:00:00,21.18,21.4,21.13,21.36,2297469,21.929
6/17/2015 16:00:00,21.42,21.57,21.24,21.39,2185869,22.014
6/18/2015 16:00:00,21.52,21.99,21.47,21.97,3378360,22.133
6/19/2015 16:00:00,22.02,22.25,21.66,21.75,4495087,22.242
6/22/2015 16:00:00,21.85,21.96,21.71,21.81,1823572,22.375
6/23/2015 16:00:00,21.78,22.35,21.68,22.3,3245049,22.5045
6/24/2015 16:00:00,22.25,22.32,22.01,22.04,2620827,22.61
6/25/2015 16:00:00,21.91,22.17,21.82,22.01,2237458,22.7135
6/26/2015 16:00:00,22.11,22.17,21.75,21.91,2624479,22.9365
6/29/2015 16:00:00,21.74,21.85,21.45,21.49,2753193,23.1695
6/30/2015 16:00:00,21.71,21.78,21.52,21.7,2596873,23.41
7/1/2015 16:00:00,21.95,22,21.78,21.87,1987076,23.6475
7/2/2015 16:00:00,21.87,21.91,21.67,21.89,1343397,23.896
7/6/2015 16:00:00,21.76,21.99,21.68,21.8,1903161,24.142
7/7/2015 16:00:00,21.78,21.89,21.28,21.84,3454248,24.3895
7/8/2015 16:00:00,21.72,21.8,21.44,21.49,2383130,24.6275
7/9/2015 16:00:00,21.75,21.94,21.71,21.72,2271395,24.8955
7/10/2015 16:00:00,22.02,22.24,21.95,22.18,2400981,25.133
7/13/2015 16:00:00,22.41,22.89,22.38,22.78,3956802,25.3305
7/14/2015 16:00:00,23.12,23.48,22.91,23.28,4736215,25.5015
7/15/2015 16:00:00,23.15,23.24,23.01,23.06,2987399,25.656
7/16/2015 16:00:00,23.28,23.79,23.24,23.77,4095581,25.818
7/17/2015 16:00:00,23.89,24.27,23.86,24.15,4932176,25.9535
7/20/2015 16:00:00,24.63,24.66,24.27,24.41,4752491,26.075
7/21/2015 16:00:00,24.4,24.44,24.13,24.4,3181831,26.1925
7/22/2015 16:00:00,24.3,24.63,24.25,24.41,3114898,26.31
7/23/2015 16:00:00,24.58,24.58,23.79,24.11,9374431,26.422
7/24/2015 16:00:00,28.95,29.03,26.47,26.47,21909381,26.506
7/27/2015 16:00:00,26.39,27.25,26.33,26.57,7490960,26.4185
7/28/2015 16:00:00,26.8,26.82,26.16,26.3,5273092,26.2485
7/29/2015 16:00:00,26.55,26.65,26.25,26.45,3752634,26.0995
7/30/2015 16:00:00,26.38,26.96,26.21,26.84,3743065,26.029
7/31/2015 16:00:00,26.95,27.14,26.73,26.81,3025598,25.983
8/3/2015 16:00:00,26.87,27.02,26.47,26.75,3014236,25.9375
8/4/2015 16:00:00,26.48,26.85,26.46,26.6,2934590,25.882
