Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
6/12/2015 16:00:00,16.68,16.9,16.68,16.71,1422335,17.555,,,,,,,,,
6/15/2015 16:00:00,16.65,16.75,16.4,16.69,2186175,17.5935,,,,,,,,,
6/16/2015 16:00:00,16.68,16.9,16.61,16.87,1984678,17.6445,,,,,,,,,
6/17/2015 16:00:00,16.81,17.62,16.8,17.36,5512920,17.678,,,,,,,,,
6/18/2015 16:00:00,17.46,17.56,17.33,17.46,2782703,17.699,,,,,,,,,
6/19/2015 16:00:00,17.48,17.59,17.34,17.5,2463013,17.7415,,,,,,,,,
6/22/2015 16:00:00,17.48,17.63,17.05,17.32,4561079,17.8075,,,,,,,,,
6/23/2015 16:00:00,17.35,17.87,17.24,17.84,3870818,17.8305,,,,,,,,,
6/24/2015 16:00:00,17.8,17.82,17.58,17.68,2412293,17.8315,,,,,,,,,
6/25/2015 16:00:00,17.77,18.09,17.68,17.92,2849204,17.838,,,,,,,,,
6/26/2015 16:00:00,17.94,17.94,17.73,17.81,3838434,17.8265,,,,,,,,,
6/29/2015 16:00:00,17.46,17.73,17.38,17.47,3478909,17.7795,,,,,,,,,
6/30/2015 16:00:00,17.65,18.06,17.6,17.88,3086935,17.7885,,,,,,,,,
7/1/2015 16:00:00,18.08,18.17,17.86,17.94,2101224,17.774,,,,,,,,,
7/2/2015 16:00:00,18.68,18.83,18.22,18.67,7163930,17.7665,,,,,,,,,
7/6/2015 16:00:00,18.59,18.78,18.42,18.65,4121933,17.72,,,,,,,,,
7/7/2015 16:00:00,18.33,18.35,17.38,17.86,6105126,17.654,,,,,,,,,
7/8/2015 16:00:00,17.29,17.39,16.95,17,6221077,17.6485,,,,,,,,,
7/9/2015 16:00:00,17.27,17.53,17.12,17.19,3334077,17.699,,,,,,,,,
7/10/2015 16:00:00,17.48,17.53,17.19,17.28,2610858,17.66,,,,,,,,,
7/13/2015 16:00:00,17.48,17.5,17.07,17.48,2960319,17.6045,,,,,,,,,
7/14/2015 16:00:00,17.47,17.73,17.37,17.71,1907641,17.5345,,,,,,,,,
7/15/2015 16:00:00,17.78,17.83,17.47,17.54,2021621,17.44,,,,,,,,,
7/16/2015 16:00:00,17.61,17.81,17.54,17.78,1615961,17.357,,,,,,,,,
7/17/2015 16:00:00,18.17,18.37,17.88,18.31,5004099,17.2765,,,,,,,,,
7/20/2015 16:00:00,18.33,19.11,18.17,18.82,4978454,17.1715,,,,,,,,,
7/21/2015 16:00:00,18,18.23,17.77,17.78,6108686,17.0805,,,,,,,,,
7/22/2015 16:00:00,17.42,17.96,17.39,17.86,3104960,17.0605,,,,,,,,,
7/23/2015 16:00:00,17.98,17.99,17.68,17.81,2227239,17.0185,,,,,,,,,
7/24/2015 16:00:00,17.83,18.07,17.59,17.69,2836498,16.9355,,,,,,,,,
7/27/2015 16:00:00,17.5,17.63,16.72,16.87,4694192,16.82,,,,,,,,,
7/28/2015 16:00:00,17.05,17.69,16.79,17.65,3895808,16.706,,,,,,,,,
7/29/2015 16:00:00,17.62,17.86,17.47,17.59,2790095,16.557,,,,,,,,,
7/30/2015 16:00:00,17.51,17.8,17.47,17.79,2034560,16.427,,,,,,,,,
7/31/2015 16:00:00,17.84,17.96,17.67,17.74,2222552,16.3475,,,,,,,,,
8/3/2015 16:00:00,17.75,17.78,17.14,17.33,2553474,16.289,,,,,,,,,
8/4/2015 16:00:00,17.33,17.78,17.22,17.75,2352530,16.2525,,,,,,,,,
8/5/2015 16:00:00,17.57,18.07,17.36,18.01,6214319,16.1605,,,,,,,,,
8/6/2015 16:00:00,16.64,17,15.74,16.41,14623754,16.0855,,,,,,,,,
8/7/2015 16:00:00,16.24,16.25,15.89,16.17,5073390,16.0835,,,,,,,,,
8/10/2015 16:00:00,15.88,16.2,15.74,16.08,4185860,16.0815,,,,,,,,,
8/11/2015 16:00:00,15.81,15.95,15.63,15.82,4264939,16.1045,,,,,,,,,
8/12/2015 16:00:00,15.67,15.98,15.52,15.88,3739157,16.143,,,,,,,,,
8/13/2015 16:00:00,15.99,16.43,15.94,16.17,4689182,16.1775,,,,,,,,,
8/14/2015 16:00:00,16.48,16.53,16.12,16.21,4364810,16.203,,,,,,,,,
8/17/2015 16:00:00,17.04,17.11,16.7,17,7176690,16.2365,,,,,,,,,
8/18/2015 16:00:00,17.03,17.4,16.9,17.38,4195035,16.2315,,,,,,,,,
8/19/2015 16:00:00,17.36,17.38,17,17.02,3604282,16.2365,,,,,,,,,
8/20/2015 16:00:00,16.8,16.97,16.13,16.15,4905757,16.259,,,,,,,,,
8/21/2015 16:00:00,15.73,16.25,15.37,15.38,6590234,16.32,,,,,,,,,
8/24/2015 16:00:00,13.52,15.43,13,14.59,9581585,16.4315,,,,,,,,,
