Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
6/12/2015 16:00:00,54.29,54.41,53.91,54.06,1473572,52.6915,,,,,,,,,
6/15/2015 16:00:00,52.87,53.72,52.69,53.56,1920565,52.6305,,,,,,,,,
6/16/2015 16:00:00,53.21,53.77,53.17,53.44,1798773,52.6175,,,,,,,,,
6/17/2015 16:00:00,53.36,53.84,53.19,53.58,1244349,52.5745,,,,,,,,,
6/18/2015 16:00:00,53.78,54.31,53.51,54.17,1497029,52.5205,,,,,,,,,
6/19/2015 16:00:00,54.15,54.25,53.48,53.57,2216171,52.4215,,,,,,,,,
6/22/2015 16:00:00,53.87,54.77,53.86,54.55,2714910,52.3355,,,,,,,,,
6/23/2015 16:00:00,54.6,54.7,53.85,54.09,1795214,52.214,,,,,,,,,
6/24/2015 16:00:00,53.98,54.65,53.73,53.91,1607419,52.1095,,,,,,,,,
6/25/2015 16:00:00,53.98,54.09,53.26,53.3,1693606,52.0315,,,,,,,,,
6/26/2015 16:00:00,53.28,53.44,51.81,52.2,3871145,51.9555,,,,,,,,,
6/29/2015 16:00:00,51.35,51.62,50.35,50.41,2425348,51.898,,,,,,,,,
6/30/2015 16:00:00,51.09,51.09,49.84,50.08,3551563,51.922,,,,,,,,,
7/1/2015 16:00:00,50.17,50.73,50.1,50.39,2854746,51.9225,,,,,,,,,
7/2/2015 16:00:00,50.52,50.94,50.3,50.83,2770348,51.933,,,,,,,,,
7/6/2015 16:00:00,50.41,51.1,50.2,50.95,2441605,51.9205,,,,,,,,,
7/7/2015 16:00:00,51.35,53.77,51.25,53.29,6125623,52.038,,,,,,,,,
7/8/2015 16:00:00,52.72,53.07,52.23,52.48,3808070,52.081,,,,,,,,,
7/9/2015 16:00:00,53.07,53.53,52.46,52.46,2746306,52.1625,,,,,,,,,
7/10/2015 16:00:00,52.99,53.01,51.66,52.51,6029041,52.1865,,,,,,,,,
7/13/2015 16:00:00,53,53.26,52.55,52.84,1962364,52.2125,,,,,,,,,
7/14/2015 16:00:00,52.79,53.56,52.65,53.3,1665772,52.2895,,,,,,,,,
7/15/2015 16:00:00,53.2,53.48,52.46,52.58,2128489,52.3275,,,,,,,,,
7/16/2015 16:00:00,53.1,53.24,52.49,52.5,1795131,52.4395,,,,,,,,,
7/17/2015 16:00:00,52.4,52.4,51.84,52.19,1968938,52.545,,,,,,,,,
