Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
6/12/2015 16:00:00,81.36,82.09,81.2,81.53,11417882,85.4,,,,,,,,,
6/15/2015 16:00:00,80.55,80.93,80.07,80.71,18805087,85.8285,,,,,,,,,
6/16/2015 16:00:00,80.82,81.51,80.45,81.06,13693666,86.277,,,,,,,,,
6/17/2015 16:00:00,81.76,82.22,81.34,81.79,18350287,86.712,,,,,,,,,
6/18/2015 16:00:00,81.64,83.19,81.57,82.91,26782573,87.165,,,,,,,,,
6/19/2015 16:00:00,82.88,82.98,82.12,82.51,23353194,87.768,,,,,,,,,
6/22/2015 16:00:00,83.41,84.97,83.31,84.74,29383079,88.538,,,,,,,,,
6/23/2015 16:00:00,84.96,87.97,84.76,87.88,50667853,89.2205,,,,,,,,,
6/24/2015 16:00:00,87.66,89.25,87.45,88.86,41370227,89.6785,,,,,,,,,
6/25/2015 16:00:00,89.26,89.4,87.84,87.98,27301967,90.0075,,,,,,,,,
6/26/2015 16:00:00,88.12,88.34,86.83,88.01,38214647,90.456,,,,,,,,,
6/29/2015 16:00:00,86.61,87.5,85.73,85.8,35957872,90.764,,,,,,,,,
6/30/2015 16:00:00,86.6,86.7,85.57,85.77,23233183,91.2385,,,,,,,,,
7/1/2015 16:00:00,86.79,87.95,86.49,86.91,25260045,91.7995,,,,,,,,,
7/2/2015 16:00:00,87.4,87.44,86.34,87.29,16908781,92.2145,,,,,,,,,
7/6/2015 16:00:00,86.49,88.18,86.39,87.55,24635915,92.5505,,,,,,,,,
7/7/2015 16:00:00,87.8,87.85,85.23,87.22,33059921,92.88,,,,,,,,,
7/8/2015 16:00:00,86.29,86.75,85.45,85.65,24399340,93.222,,,,,,,,,
7/9/2015 16:00:00,86.73,87.6,85.65,85.88,23307402,93.7615,,,,,,,,,
7/10/2015 16:00:00,87.35,88.22,86.77,87.95,23245873,94.2235,,,,,,,,,
7/13/2015 16:00:00,88.66,90.22,88.42,90.1,29976670,94.541,,,,,,,,,
7/14/2015 16:00:00,90.46,90.8,89.65,89.68,26627849,94.7435,,,,,,,,,
7/15/2015 16:00:00,90,90.99,89.42,89.76,30886601,94.9405,,,,,,,,,
7/16/2015 16:00:00,90.28,90.86,89.77,90.85,21804086,95.162,,,,,,,,,
7/17/2015 16:00:00,92.55,95.39,92.54,94.97,54001635,95.291,,,,,,,,,
7/20/2015 16:00:00,95.85,98.6,95.36,97.91,54860541,95.2635,,,,,,,,,
7/21/2015 16:00:00,98.95,99.24,97.14,98.39,39453332,95.0645,,,,,,,,,
7/22/2015 16:00:00,96.74,97.58,95.92,97.04,28299518,94.9035,,,,,,,,,
7/23/2015 16:00:00,96.96,97.45,94.81,95.44,29418833,94.817,,,,,,,,,
7/24/2015 16:00:00,97.35,97.76,95.88,96.95,33444930,94.573,,,,,,,,,
7/27/2015 16:00:00,96.58,96.61,93.83,94.17,38585381,94.0285,,,,,,,,,
7/28/2015 16:00:00,94.84,95.56,93.31,95.29,35235993,93.4245,,,,,,,,,
7/29/2015 16:00:00,96.32,97.28,94.74,96.99,64648320,92.81,,,,,,,,,
7/30/2015 16:00:00,94.91,95.81,91.8,95.21,86211323,92.32,,,,,,,,,
7/31/2015 16:00:00,94.95,96.33,93.95,94.01,46509045,92.046,,,,,,,,,
8/3/2015 16:00:00,93.53,95.08,92.8,94.14,29343117,91.896,,,,,,,,,
8/4/2015 16:00:00,93.79,94.73,93.33,94.06,20136036,91.6605,,,,,,,,,
8/5/2015 16:00:00,95.25,97.09,95.18,96.44,29813174,91.319,,,,,,,,,
8/6/2015 16:00:00,97.18,98.74,94.42,95.12,42271318,90.9915,,,,,,,,,
8/7/2015 16:00:00,95.38,95.4,93.61,94.3,23199145,90.643,,,,,,,,,
8/10/2015 16:00:00,95.68,95.9,93.63,94.15,21624153,90.341,,,,,,,,,
8/11/2015 16:00:00,93.73,94.76,92.9,93.62,22491031,90.11,,,,,,,,,
8/12/2015 16:00:00,92.7,94.44,91.19,94.19,27120375,89.951,,,,,,,,,
8/13/2015 16:00:00,94.05,94.73,93.35,93.43,17451768,89.8405,,,,,,,,,
8/14/2015 16:00:00,93.54,94.72,93.21,94.42,15929656,89.7715,,,,,,,,,
8/17/2015 16:00:00,94.42,94.46,93.39,93.93,18313531,89.666,,,,,,,,,
8/18/2015 16:00:00,94.08,95.85,94.04,95.17,22278848,89.6145,,,,,,,,,
8/19/2015 16:00:00,94.63,96.1,94.16,95.31,23251271,89.5285,,,,,,,,,
8/20/2015 16:00:00,93.54,94.77,90.46,90.56,44598224,89.48,,,,,,,,,
8/21/2015 16:00:00,87.52,89.18,85.61,86.06,62778680,89.672,,,,,,,,,
8/24/2015 16:00:00,77.03,87.14,72,82.09,83710727,90.1465,,,,,,,,,
8/25/2015 16:00:00,86.95,87.67,83,83,52021230,90.69,,,,,,,,,
8/26/2015 16:00:00,85.95,87.46,83.26,87.19,45124302,91.2385,,,,,,,,,
8/27/2015 16:00:00,89.1,90.06,87.19,89.73,42431375,91.5995,,,,,,,,,
8/28/2015 16:00:00,89.88,91.48,89.79,91.01,33215885,91.7515,,,,,,,,,
8/31/2015 16:00:00,90.6,91.05,88.89,89.43,32850666,91.6615,,,,,,,,,
9/1/2015 16:00:00,86.85,89.39,86.5,87.23,36097370,91.5235,,,,,,,,,
9/2/2015 16:00:00,88.81,89.89,87.63,89.89,27190527,91.657,,,,,,,,,
9/3/2015 16:00:00,89.76,89.82,87.73,88.15,27048198,91.71,,,,,,,,,
9/4/2015 16:00:00,87.2,88.39,86.7,88.26,27328667,91.906,,,,,,,,,
9/8/2015 16:00:00,89.69,90.24,88.83,89.53,27012543,92.1935,,,,,,,,,
9/9/2015 16:00:00,90.78,91.98,90.17,90.44,32551123,92.357,,,,,,,,,
9/10/2015 16:00:00,90.07,92.06,89.63,91.98,26437398,92.455,,,,,,,,,
9/11/2015 16:00:00,91.68,92.08,91.13,92.05,21185049,92.4795,,,,,,,,,
9/14/2015 16:00:00,92.31,92.62,91.6,92.31,20127871,92.539,,,,,,,,,
9/15/2015 16:00:00,92.37,93.25,91.79,92.9,18859351,92.6365,,,,,,,,,
9/16/2015 16:00:00,92.9,93.6,92.63,93.45,16321193,92.6975,,,,,,,,,
9/17/2015 16:00:00,93.37,95.51,92.9,94.34,27841803,92.7285,,,,,,,,,
9/18/2015 16:00:00,93.2,95.19,93.05,94.4,62299984,92.8095,,,,,,,,,
9/21/2015 16:00:00,94.62,96.49,94.52,95.55,28789973,92.9665,,,,,,,,,
9/22/2015 16:00:00,93.77,94.68,91.92,92.96,36888893,93.1125,,,,,,,,,
9/23/2015 16:00:00,93.4,94.32,92.8,93.97,21701427,93.3145,,,,,,,,,
9/24/2015 16:00:00,93.06,94.77,92.24,94.41,29105964,93.4715,,,,,,,,,
9/25/2015 16:00:00,95.79,95.85,92.06,92.77,28961622,93.7345,,,,,,,,,
9/28/2015 16:00:00,92.08,92.29,88.18,89.21,41199870,94.2055,,,,,,,,,
9/29/2015 16:00:00,89.1,90.06,85.72,86.67,42281838,94.9335,,,,,,,,,
9/30/2015 16:00:00,88.44,90.02,88.01,89.9,36169146,95.785,,,,,,,,,
10/1/2015 16:00:00,90.05,90.95,88.36,90.95,29283652,96.5,,,,,,,,,
10/2/2015 16:00:00,88.9,92.2,88.37,92.07,37881652,97.1965,,,,,,,,,
10/5/2015 16:00:00,92.94,94.27,92.66,94.01,27292517,97.6915,,,,,,,,,
10/6/2015 16:00:00,94.08,94.17,92.34,92.8,22488275,98.1565,,,,,,,,,
10/7/2015 16:00:00,93.11,93.66,91.37,92.4,24129277,98.6455,,,,,,,,,
10/8/2015 16:00:00,91.89,93.22,90.47,92.47,27290523,99.2225,,,,,,,,,
10/9/2015 16:00:00,92.9,93.74,92.24,93.24,20012911,100.037,,,,,,,,,
10/12/2015 16:00:00,93.32,94.6,92.67,94.26,18449562,100.73,,,,,,,,,
10/13/2015 16:00:00,93.66,95.37,93.55,94.12,19480347,101.3415,,,,,,,,,
10/14/2015 16:00:00,94.08,95.2,93.61,94.07,19253351,102.031,,,,,,,,,
10/15/2015 16:00:00,94.99,96.3,94.9,95.96,27557516,102.778,,,,,,,,,
10/16/2015 16:00:00,96.18,97.59,95.35,97.54,25412856,103.381,,,,,,,,,
10/19/2015 16:00:00,97.18,98.57,96.92,98.47,23729924,103.7015,,,,,,,,,
10/20/2015 16:00:00,98.73,99.59,96.56,97,30881777,103.98,,,,,,,,,
10/21/2015 16:00:00,97.37,98.18,96.47,97.11,22003730,104.3865,,,,,,,,,
10/22/2015 16:00:00,97.79,99.73,97.55,99.67,26392075,104.9195,,,,,,,,,
10/23/2015 16:00:00,101.91,102.85,100.16,102.19,42809661,105.249,,,,,,,,,
10/26/2015 16:00:00,102.2,103.81,101.55,103.77,25961212,105.5055,,,,,,,,,
10/27/2015 16:00:00,102.94,104.1,102.4,103.7,23795472,105.6645,,,,,,,,,
10/28/2015 16:00:00,103.9,104.48,102.92,104.2,24081515,105.7665,,,,,,,,,
10/29/2015 16:00:00,103.96,105.12,103.52,104.88,20316691,105.827,,,,,,,,,
10/30/2015 16:00:00,104.51,104.72,101.65,101.97,33487104,105.8555,,,,,,,,,
11/2/2015 16:00:00,102.46,103.47,101.18,103.31,24003944,105.969,,,,,,,,,
11/3/2015 16:00:00,103.22,103.65,102.4,102.58,21242341,106.1595,,,,,,,,,
11/4/2015 16:00:00,103.19,104.14,102.48,103.94,43469308,106.334,,,,,,,,,
11/5/2015 16:00:00,108.8,110.65,107.95,108.76,63232861,106.356,,,,,,,,,
11/6/2015 16:00:00,108.04,108.74,105.91,107.1,35084342,106.227,,,,,,,,,
11/9/2015 16:00:00,107,108.25,105.86,106.49,26383540,106.1525,,,,,,,,,
11/10/2015 16:00:00,105.96,108.15,105.24,107.91,25031681,106.1525,,,,,,,,,
11/11/2015 16:00:00,108.27,109.87,107.11,109.01,25057099,105.987,,,,,,,,,
11/12/2015 16:00:00,108.48,109.39,108,108.02,20924674,105.8075,,,,,,,,,
11/13/2015 16:00:00,107.71,108.25,103.83,103.95,30278403,105.5125,,,,,,,,,
11/16/2015 16:00:00,103.32,104.17,100.47,104.04,49309167,105.548,,,,,,,,,
11/17/2015 16:00:00,104.62,106.2,104.14,105.13,26807230,105.5735,,,,,,,,,
11/18/2015 16:00:00,105.8,107.88,105.39,107.77,23836526,105.6565,,,,,,,,,
11/19/2015 16:00:00,107.36,107.73,105.95,106.26,25520599,105.579,,,,,,,,,
11/20/2015 16:00:00,106.84,107.87,106.62,107.32,22129648,105.468,,,,,,,,,
11/23/2015 16:00:00,107.19,107.47,106.08,106.95,19897220,105.3405,,,,,,,,,
11/24/2015 16:00:00,106,106.49,104.39,105.74,23577293,105.2685,,,,,,,,,
11/25/2015 16:00:00,106.33,106.6,105.1,105.41,15150785,105.213,,,,,,,,,
11/27/2015 16:00:00,105.78,105.96,104.86,105.45,5913066,105.1935,,,,,,,,,
11/30/2015 16:00:00,105.84,106.1,103.75,104.24,20383179,105.2175,,,,,,,,,
12/1/2015 16:00:00,104.83,107.15,104.5,107.12,22781868,105.3685,,,,,,,,,
12/2/2015 16:00:00,107,107.92,105.79,106.07,24429063,105.3235,,,,,,,,,
12/3/2015 16:00:00,106.27,106.85,103.35,104.38,23236485,105.253,,,,,,,,,
12/4/2015 16:00:00,104.81,107.73,104.11,106.18,21224721,105.145,,,,,,,,,
12/7/2015 16:00:00,106.48,106.83,104.66,105.61,15474890,104.9725,,,,,,,,,
12/8/2015 16:00:00,104,106.91,103.95,106.49,20401791,104.8405,,,,,,,,,
12/9/2015 16:00:00,106.18,106.44,103.55,104.6,23517268,104.412,,,,,,,,,
12/10/2015 16:00:00,105.05,106.4,104.41,105.42,17454312,104.0485,,,,,,,,,
12/11/2015 16:00:00,104.15,104.34,101.91,102.12,26427727,103.653,,,,,,,,,
12/14/2015 16:00:00,102.29,104.74,101.46,104.66,24813496,103.5155,,,,,,,,,
12/15/2015 16:00:00,105.3,105.8,104.28,104.55,21764331,103.0545,,,,,,,,,
12/16/2015 16:00:00,105.37,107.09,104.19,106.79,22680547,102.7455,,,,,,,,,
12/17/2015 16:00:00,107.49,107.75,106.13,106.22,21675686,102.1545,,,,,,,,,
12/18/2015 16:00:00,106.08,106.59,103.97,104.04,35994199,101.6065,,,,,,,,,
12/21/2015 16:00:00,104.91,105.15,103.6,104.77,16138786,101.122,,,,,,,,,
12/22/2015 16:00:00,105.22,105.66,104.81,105.51,14597122,100.5915,,,,,,,,,
12/23/2015 16:00:00,105.89,106.11,103.86,104.63,19599673,100.213,,,,,,,,,
12/24/2015 16:00:00,104.74,105.32,104.5,105.02,6512134,99.832,,,,,,,,,
12/28/2015 16:00:00,105.02,105.98,104.53,105.93,13069733,99.448,,,,,,,,,
12/29/2015 16:00:00,106.42,107.74,106.25,107.26,17179901,98.874,,,,,,,,,
12/30/2015 16:00:00,107,107.25,106.06,106.22,13115007,98.9665,,,,,,,,,
12/31/2015 16:00:00,106,106.17,104.62,104.66,18391064,99.266,,,,,,,,,
1/4/2016 16:00:00,101.95,102.24,99.75,102.22,37912403,99.7875,,,,,,,,,
1/5/2016 16:00:00,102.89,103.71,101.67,102.73,23258238,100.407,,,,,,,,,
1/6/2016 16:00:00,101.13,103.77,100.9,102.97,25096183,100.905,,,,,,,,,
1/7/2016 16:00:00,100.5,101.43,97.3,97.92,45172906,101.281,,,,,,,,,
1/8/2016 16:00:00,99.88,100.5,97.03,97.33,35402298,101.5885,,,,,,,,,
1/11/2016 16:00:00,97.91,98.6,95.39,97.51,29932385,101.7095,,,,,,,,,
1/12/2016 16:00:00,99,99.96,97.55,99.37,28395390,101.811,,,,,,,,,
1/13/2016 16:00:00,100.58,100.58,95.21,95.44,33410553,101.8925,,,,,,,,,
1/14/2016 16:00:00,95.85,98.87,92.45,98.37,48658623,102.216,,,,,,,,,
1/15/2016 16:00:00,93.98,96.38,93.54,94.97,46132781,102.398,,,,,,,,,
1/19/2016 16:00:00,96.53,97.42,93.92,95.26,30998256,102.73,,,,,,,,,
1/20/2016 16:00:00,92.83,95,89.37,94.35,59051429,103.227,,,,,,,,,
1/21/2016 16:00:00,94.91,95.99,92.62,94.16,30518939,103.683,,,,,,,,,
1/22/2016 16:00:00,96.41,98.07,95.49,97.94,30495387,104.2035,,,,,,,,,
1/25/2016 16:00:00,98.72,99.48,96.93,97.01,32482015,104.6645,,,,,,,,,
1/26/2016 16:00:00,97.76,97.88,95.66,97.34,26877080,105.087,,,,,,,,,
1/27/2016 16:00:00,97.79,97.85,94.23,94.45,58699359,105.564,,,,,,,,,
