Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
6/12/2015 16:00:00,43.98,44.39,43.9,44.34,11742306,41.5165,,,,,,,,,
6/15/2015 16:00:00,43.9,43.99,43.41,43.72,16727686,41.3395,,,,,,,,,
6/16/2015 16:00:00,43.91,44.88,43.76,44.64,18269226,41.1925,,,,,,,,,
6/17/2015 16:00:00,44.86,45.24,44.37,44.91,27001072,41,,,,,,,,,
6/18/2015 16:00:00,41.91,42.98,40.97,42.74,79128649,40.8025,,,,,,,,,
6/19/2015 16:00:00,42.9,43.1,41.56,41.59,37427605,40.6855,,,,,,,,,
6/22/2015 16:00:00,41.8,41.96,41.45,41.49,22367621,40.6025,,,,,,,,,
6/23/2015 16:00:00,41.94,42.06,41.48,41.71,17392480,40.5065,,,,,,,,,
6/24/2015 16:00:00,41.54,41.77,41.2,41.2,17768033,40.392,,,,,,,,,
6/25/2015 16:00:00,41.24,41.47,41.06,41.06,13547448,40.282,,,,,,,,,
6/26/2015 16:00:00,41.1,41.37,40.97,40.99,39685430,40.179,,,,,,,,,
6/29/2015 16:00:00,40.63,40.9,40.38,40.42,18194515,40.055,,,,,,,,,
6/30/2015 16:00:00,40.6,40.75,40.11,40.3,16691538,39.998,,,,,,,,,
7/1/2015 16:00:00,40.61,40.7,39.93,40.24,13948619,39.9725,,,,,,,,,
7/2/2015 16:00:00,40.38,40.42,40.15,40.36,11643980,39.943,,,,,,,,,
7/6/2015 16:00:00,39.93,40.29,39.77,40.15,12433917,39.922,,,,,,,,,
7/7/2015 16:00:00,40.04,40.27,39.84,40.16,16437099,39.9,,,,,,,,,
7/8/2015 16:00:00,39.9,40.24,39.7,39.77,14598492,39.875,,,,,,,,,
7/9/2015 16:00:00,40.24,40.48,40.15,40.18,13348171,39.8685,,,,,,,,,
7/10/2015 16:00:00,40.56,40.65,40.21,40.36,10469957,39.8255,,,,,,,,,
7/13/2015 16:00:00,40.52,40.86,40.38,40.8,10716991,39.7855,,,,,,,,,
7/14/2015 16:00:00,40.81,40.9,40.58,40.78,9298777,39.74,,,,,,,,,
7/15/2015 16:00:00,40.63,40.92,40.63,40.79,9326667,39.6595,,,,,,,,,
7/16/2015 16:00:00,41.02,41.02,40.56,40.96,14861034,39.584,,,,,,,,,
7/17/2015 16:00:00,40.75,40.86,40.16,40.4,14574365,39.5015,,,,,,,,,
7/20/2015 16:00:00,40.36,40.39,39.87,39.93,17488120,39.452,,,,,,,,,
7/21/2015 16:00:00,39.76,39.99,39.39,39.57,14678796,39.4415,,,,,,,,,
7/22/2015 16:00:00,39.36,39.67,39.25,39.42,16796882,39.4545,,,,,,,,,
7/23/2015 16:00:00,39.55,39.6,38.96,39,18083839,39.46,,,,,,,,,
7/24/2015 16:00:00,39.1,39.17,38.8,39,12029224,39.4415,,,,,,,,,
7/27/2015 16:00:00,38.72,38.82,38.47,38.51,15756829,39.369,,,,,,,,,
7/28/2015 16:00:00,38.79,39.37,38.44,39.28,14289205,39.2475,,,,,,,,,
7/29/2015 16:00:00,39.37,39.87,39.26,39.79,13016410,39.056,,,,,,,,,
7/30/2015 16:00:00,40.03,40.1,39.55,39.65,13634217,38.912,,,,,,,,,
7/31/2015 16:00:00,39.76,40.12,39.7,39.94,13706065,38.7705,,,,,,,,,
