Date,Open,High,Low,Close,Volume,20 Day MA,,,,,,,,,#N/A
9/30/2020 16:00:00,10,11.42,9.11,9.5,338584375,9.6735,,,,,,,,,
10/1/2020 16:00:00,9.69,10.1,9.23,9.46,124297602,9.741,,,,,,,,,
10/2/2020 16:00:00,9.06,9.28,8.94,9.2,55018340,9.8055,,,,,,,,,
10/5/2020 16:00:00,9.43,9.49,8.92,9.03,36316879,9.852,,,,,,,,,
10/6/2020 16:00:00,9.04,10.18,8.9,9.9,90864039,9.9275,,,,,,,,,
10/7/2020 16:00:00,10.04,10.49,9.99,10,54672422,9.9575,,,,,,,,,
10/8/2020 16:00:00,10.29,10.4,9.99,10,34989191,9.9935,,,,,,,,,
10/9/2020 16:00:00,10.13,10.19,9.89,9.95,19653449,10.0875,,,,,,,,,
10/12/2020 16:00:00,10.04,10.05,9.66,9.89,20623570,10.2815,,,,,,,,,
10/13/2020 16:00:00,9.88,9.88,9.41,9.47,21847180,10.5205,,,,,,,,,
10/14/2020 16:00:00,9.6,9.66,9.29,9.34,13785100,10.747,,,,,,,,,
10/15/2020 16:00:00,9.27,9.91,9.18,9.91,12924090,11.078,,,,,,,,,
10/16/2020 16:00:00,9.94,9.95,9.66,9.71,11142460,11.3115,,,,,,,,,
10/19/2020 16:00:00,9.79,9.82,9.53,9.57,9126352,11.616,,,,,,,,,
10/20/2020 16:00:00,9.6,9.66,9.27,9.27,11138220,11.934,,,,,,,,,
10/21/2020 16:00:00,9.3,9.48,9.2,9.2,9189978,12.363,,,,,,,,,
10/22/2020 16:00:00,9.37,9.75,9.22,9.68,17928580,12.798,,,,,,,,,
10/23/2020 16:00:00,9.71,9.83,9.47,9.49,12618010,13.263,,,,,,,,,
10/26/2020 16:00:00,9.72,9.97,9.6,9.95,23767340,13.696,,,,,,,,,
10/27/2020 16:00:00,10,11.04,9.92,10.95,53695930,14.2505,,,,,,,,,
10/28/2020 16:00:00,10.66,10.99,10.1,10.85,30941721,14.894,,,,,,,,,
10/29/2020 16:00:00,10.9,11.1,10.56,10.75,20515711,15.804,,,,,,,,,
10/30/2020 16:00:00,10.61,10.68,9.85,10.13,19728369,16.6495,,,,,,,,,
11/2/2020 16:00:00,10.23,10.57,10.23,10.54,11677850,17.4985,,,,,,,,,
11/3/2020 16:00:00,10.57,10.94,10.44,10.5,21652811,18.255,,,,,,,,,
11/4/2020 16:00:00,10.82,10.92,10.55,10.72,15783360,18.8555,,,,,,,,,
11/5/2020 16:00:00,10.9,12.13,10.85,11.88,48560379,19.521,,,,,,,,,
11/6/2020 16:00:00,12.22,14.96,12.05,13.83,89977562,20.1195,,,,,,,,,
11/9/2020 16:00:00,14.96,15.9,14.11,14.67,60098961,20.875,,,,,,,,,
